application,feature_group,model,split_type,n_seeds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,enrichment_top10_mean,enrichment_top10_std,enrichment_top25_mean,enrichment_top25_std,train_time_sec_mean,train_time_sec_std,inference_time_sec_per_sample_mean,inference_time_sec_per_sample_std,peak_train_memory_kb_mean,peak_train_memory_kb_std,model_size_kb_mean,model_size_kb_std
co2_capture,precursor_only,random_forest,metal_element_holdout,1,0.8876795820635611,0.0,0.5888888888888889,0.0,0.19343065693430658,0.0,0.29120879120879123,0.0,0.7592711193537096,0.0,0.37590768469111574,0.0,3.5875753036050106,0.0,2.263759251252575,0.0,1.8258764000001975,0.0,2.6237309534238772e-05,0.0,14864.234375,0.0,8312.8896484375,0.0
co2_capture,precursor_only,xgboost,metal_element_holdout,1,0.8454505877231171,0.0,0.3436293436293436,0.0,0.3248175182481752,0.0,0.3339587242026266,0.0,0.7381860429873968,0.0,0.3079250184983475,0.0,3.148280368469703,0.0,2.0154759785345506,0.0,1.7670888000002378,0.0,2.476817588148724e-05,0.0,5206.162109375,0.0,482.3212890625,0.0
co2_capture,descriptor_only,logistic_regression,metal_element_holdout,1,0.8715716151501959,0.0,0.4117647058823529,0.0,0.17883211678832117,0.0,0.24936386768447838,0.0,0.8294864532330752,0.0,0.3949673909796991,0.0,4.283125617569247,0.0,3.052423764592182,0.0,0.1496900000001915,0.0,8.591205919763839e-07,0.0,1423.98828125,0.0,1.978515625,0.0
co2_capture,descriptor_only,random_forest,metal_element_holdout,1,0.9020461471484545,0.0,0.5859649122807018,0.0,0.6094890510948905,0.0,0.5974955277280859,0.0,0.8456545348925315,0.0,0.5971427619362148,0.0,5.088499665317311,0.0,2.9355845774307587,0.0,1.5972105000000738,0.0,2.2580888114942855e-05,0.0,3879.8125,0.0,12716.5244140625,0.0
co2_capture,descriptor_only,xgboost,metal_element_holdout,1,0.8881149325206792,0.0,0.5318352059925093,0.0,0.5182481751824818,0.0,0.5249537892791127,0.0,0.8222160482913646,0.0,0.530279904795088,0.0,4.868852197749658,0.0,2.7895355934789796,0.0,0.29538499999989654,0.0,2.621245102370988e-06,0.0,132.95703125,0.0,512.3232421875,0.0
co2_capture,precursor_descriptor,logistic_regression,metal_element_holdout,1,0.7718763604701785,0.0,0.26591760299625467,0.0,0.5182481751824818,0.0,0.35148514851485146,0.0,0.7255981396422888,0.0,0.25269278602323497,0.0,2.8188091671182227,0.0,2.1761298608815074,0.0,0.49561579999999594,0.0,6.786895951156035e-06,0.0,22032.8798828125,0.0,12.986328125,0.0
co2_capture,precursor_descriptor,random_forest,metal_element_holdout,1,0.9151066608619939,0.0,0.7158469945355191,0.0,0.4781021897810219,0.0,0.5733041575492341,0.0,0.8552269340539994,0.0,0.6082944204696372,0.0,5.491186689191343,0.0,2.920979679035581,0.0,1.721011599999656,0.0,2.751854592951926e-05,0.0,15768.353515625,0.0,10753.28125,0.0
co2_capture,precursor_descriptor,xgboost,metal_element_holdout,1,0.8872442316064432,0.0,0.5285171102661597,0.0,0.5072992700729927,0.0,0.5176908752327747,0.0,0.8275100937755953,0.0,0.5354574601043117,0.0,4.502773085136901,0.0,2.891769882245225,0.0,2.0281254000001354,0.0,2.4918676534622934e-05,0.0,5231.1181640625,0.0,493.9345703125,0.0
ch4_storage,precursor_only,logistic_regression,metal_element_holdout,1,0.7622986504135829,0.0,0.6647230320699709,0.0,0.34597875569044007,0.0,0.4550898203592814,0.0,0.8067626607080325,0.0,0.6353109876201954,0.0,2.5571098196950524,0.0,2.2285878191537174,0.0,0.30902869999999893,0.0,6.6649978232727895e-06,0.0,20748.244140625,0.0,12.1640625,0.0
ch4_storage,precursor_only,random_forest,metal_element_holdout,1,0.8045276447540269,0.0,0.8860294117647058,0.0,0.36570561456752654,0.0,0.5177228786251342,0.0,0.8664397901878934,0.0,0.743852075438511,0.0,3.150724599267118,0.0,2.4836305668497833,0.0,1.7133206999997128,0.0,2.5870613844040303e-05,0.0,14905.1015625,0.0,9755.8095703125,0.0
ch4_storage,precursor_only,xgboost,metal_element_holdout,1,0.8127993034392686,0.0,0.8338192419825073,0.0,0.4339908952959029,0.0,0.5708582834331337,0.0,0.8529235475365975,0.0,0.7370959935547822,0.0,3.181166382834916,0.0,2.441123442233772,0.0,1.7781709000000774,0.0,2.4341097083192393e-05,0.0,5230.453125,0.0,479.8642578125,0.0
ch4_storage,descriptor_only,logistic_regression,metal_element_holdout,1,0.7875489769264258,0.0,0.8834080717488789,0.0,0.29893778452200304,0.0,0.4467120181405896,0.0,0.8143721478319353,0.0,0.7047738987702219,0.0,3.074620140347622,0.0,2.538282584213226,0.0,0.15163399999983085,0.0,9.109272964900923e-07,0.0,1425.7626953125,0.0,1.978515625,0.0
ch4_storage,descriptor_only,random_forest,metal_element_holdout,1,0.7988680888114933,0.0,0.7698630136986301,0.0,0.4264036418816389,0.0,0.548828125,0.0,0.8630176517126441,0.0,0.7309392389083166,0.0,2.9680738978603283,0.0,2.404688763991477,0.0,1.5785581999998612,0.0,2.30105790160728e-05,0.0,3890.1416015625,0.0,12428.0869140625,0.0
ch4_storage,descriptor_only,xgboost,metal_element_holdout,1,0.7557683935568132,0.0,0.7355769230769231,0.0,0.2321699544764795,0.0,0.35294117647058826,0.0,0.8308936469027516,0.0,0.6633513963476825,0.0,2.4810053607755567,0.0,2.167863355416559,0.0,0.31276660000003176,0.0,3.386286460668071e-06,0.0,134.2451171875,0.0,511.0625,0.0
ch4_storage,precursor_descriptor,logistic_regression,metal_element_holdout,1,0.7853722246408359,0.0,0.7243243243243244,0.0,0.40667678300455234,0.0,0.5208940719144801,0.0,0.8531759927814555,0.0,0.7027611143792177,0.0,2.8615276553730347,0.0,2.5018479059709304,0.0,0.4843898999997691,0.0,6.157161514965754e-06,0.0,22032.0517578125,0.0,12.986328125,0.0
ch4_storage,precursor_descriptor,random_forest,metal_element_holdout,1,0.8376142794949935,0.0,0.8763157894736842,0.0,0.5053110773899848,0.0,0.6410009624639076,0.0,0.8938053179327838,0.0,0.8058420230601869,0.0,3.302933517106109,0.0,2.5929346015766686,0.0,1.6733116999998856,0.0,2.627932085331883e-05,0.0,15768.638671875,0.0,10832.1962890625,0.0
ch4_storage,precursor_descriptor,xgboost,metal_element_holdout,1,0.8384849804092295,0.0,0.8529411764705882,0.0,0.5280728376327769,0.0,0.6522961574507966,0.0,0.8861485841758983,0.0,0.7950366172637355,0.0,3.3181544088900083,0.0,2.556499923334373,0.0,2.151145400000132,0.0,3.0518937744942775e-05,0.0,5240.3203125,0.0,498.6513671875,0.0
